Block Index,Timestamp,Decision,Fraud Score,Claim Hash,Block Hash,Previous Hash
0,2026-05-21T06:39:25Z,GENESIS,0.0,GENESIS...,2702d9c05c44292a2a0b...,0...
1,2026-05-21T06:39:25Z,Legitimate,0.0,d1fd1b1e2c62f2937524...,c1286a1e3d9c4c9d4982...,2702d9c05c44292a2a0b...
2,2026-05-21T06:39:25Z,Legitimate,0.0004,2a672721744b324989e0...,811234a1570f02730253...,c1286a1e3d9c4c9d4982...
3,2026-05-21T06:39:25Z,Legitimate,0.0,b587d0cabd8a119039f8...,ad798c3d5b09ba16f8f8...,811234a1570f02730253...
4,2026-05-21T06:39:25Z,Legitimate,0.0002,5769324592e8f7e299f5...,26a49052ff88e1907abe...,ad798c3d5b09ba16f8f8...
5,2026-05-21T06:39:25Z,Legitimate,0.0003,57726baf52ba6e0bb35d...,fcdbaca684260f2686df...,26a49052ff88e1907abe...
6,2026-05-21T06:39:25Z,Legitimate,0.0007,ea704d21bd29607687a2...,7025677dbd91871a0833...,fcdbaca684260f2686df...
7,2026-05-21T06:39:25Z,Legitimate,0.0038,ad5c33995fbbd8350f14...,9c7939d80a25066e4040...,7025677dbd91871a0833...
8,2026-05-21T06:39:25Z,Fraudulent,1.0,ce07b31352e2c66824a8...,e67f81f794c3d54b7347...,9c7939d80a25066e4040...
9,2026-05-21T06:39:25Z,Legitimate,0.0001,b60467058dda6ca1f42d...,43c24c31fda96c02e1af...,e67f81f794c3d54b7347...
10,2026-05-21T06:39:25Z,Legitimate,0.0029,d5daec5bda61250d432b...,8516816fb714b06a2891...,43c24c31fda96c02e1af...
